TRANS_DIST	JS_DIST	ROT_DIST	X	Y	Z	A	B	C	TIME	MT0	MT1	MT2	MT3	MT4	MT5	MT6	FX	FY	FZ	TA	TB	TC	J0	J1	J2	J3	J4	J5	J6	
0.04382	0.00009	0.00009	449.406	-20.084	-135.138	-1.571	0.000	-3.142	8623	0.995	52.306	-6.020	-7.333	0.253	-0.021	0.161	-1.761	-0.970	1.816	-0.271	0.770	0.103	-0.344	0.994	0.355	-1.875	-0.796	0.419	-0.964	
4.87402	0.01218	0.00002	449.372	-24.958	-135.126	-1.571	0.000	-3.142	8891	1.034	52.298	-6.018	-7.532	0.219	-0.050	0.153	-1.632	-0.574	1.923	-0.039	0.812	0.126	-0.352	0.994	0.355	-1.875	-0.796	0.419	-0.973	
5.21788	0.02043	0.00029	449.300	-30.175	-135.142	-1.571	-0.000	3.141	9172	0.473	52.207	-6.252	-7.302	0.229	-0.006	0.082	-0.992	-1.096	1.740	-0.376	0.375	0.036	-0.366	0.994	0.355	-1.874	-0.795	0.420	-0.988	
0.04531	0.00024	0.00005	449.325	-30.138	-135.138	-1.571	-0.000	3.141	9424	0.805	52.365	-6.102	-7.397	0.239	-0.009	0.099	-1.137	-1.082	1.693	-0.374	0.433	0.040	-0.366	0.994	0.355	-1.874	-0.795	0.420	-0.988	
2.37959	0.00403	0.00023	449.350	-32.518	-135.110	-1.571	0.000	-3.142	9659	0.651	52.207	-6.394	-7.350	0.198	-0.065	0.155	-2.059	-0.641	1.966	-0.001	0.981	0.125	-0.368	0.994	0.355	-1.874	-0.795	0.420	-0.991	
6.94092	0.02330	0.00011	449.323	-39.458	-135.150	-1.571	0.000	-3.142	9937	0.395	52.236	-6.338	-7.445	0.230	-0.070	0.119	-1.648	-0.525	1.806	0.008	0.786	0.116	-0.384	0.995	0.355	-1.872	-0.793	0.421	-1.008	
0.59116	0.00571	0.00016	449.352	-40.049	-135.151	-1.571	0.000	-3.142	10204	0.479	52.243	-6.312	-7.379	0.237	-0.072	0.110	-1.372	-0.766	1.759	-0.134	0.611	0.089	-0.387	0.995	0.355	-1.872	-0.792	0.421	-1.013	
0.24061	0.00008	0.00016	449.350	-40.289	-135.148	-1.571	0.000	-3.142	10438	0.711	52.100	-6.198	-7.257	0.170	-0.111	0.163	-1.101	-0.532	1.814	0.024	0.635	0.124	-0.387	0.995	0.355	-1.872	-0.792	0.421	-1.013	
7.17928	0.01993	0.00012	449.295	-47.468	-135.162	-1.571	0.000	3.142	10721	0.039	52.228	-6.583	-7.255	0.185	-0.087	0.106	-2.049	-0.676	2.255	0.031	1.021	0.118	-0.400	0.995	0.355	-1.870	-0.791	0.422	-1.028	
2.52602	0.01368	0.00013	449.302	-49.994	-135.164	-1.571	0.000	3.142	11020	0.535	52.352	-6.305	-7.520	0.238	-0.075	0.078	-1.234	-0.851	1.866	-0.183	0.535	0.061	-0.409	0.996	0.355	-1.869	-0.789	0.423	-1.038	
0.05203	0.00008	0.00009	449.307	-50.046	-135.161	-1.571	0.000	3.142	11256	0.413	52.180	-6.343	-7.677	0.186	-0.081	0.138	-1.608	-0.679	1.842	-0.020	0.821	0.110	-0.409	0.996	0.355	-1.869	-0.789	0.423	-1.038	
5.94362	0.01611	0.00008	449.340	-55.990	-135.155	-1.571	0.000	-3.142	11537	-0.378	52.114	-6.798	-7.472	0.168	-0.071	0.149	-1.531	-0.441	1.969	0.102	0.862	0.119	-0.419	0.996	0.355	-1.867	-0.787	0.424	-1.050	
4.12029	0.01806	0.00021	449.296	-60.110	-135.151	-1.571	-0.000	3.141	11819	0.641	52.320	-6.244	-7.518	0.214	-0.083	0.077	-1.209	-0.877	1.872	-0.186	0.518	0.056	-0.431	0.997	0.355	-1.865	-0.785	0.425	-1.064	
0.02171	0.00014	0.00004	449.279	-60.122	-135.152	-1.571	-0.000	3.141	12067	3.054	52.738	-5.126	-7.856	0.234	-0.120	0.139	-1.079	-0.899	1.787	-0.198	0.505	0.062	-0.431	0.997	0.355	-1.865	-0.785	0.425	-1.064	
